entity,soc
hibernate-core/src/main/java/org/hibernate/engine/internal/ParameterBinder.java,44
hibernate-core/src/main/java/org/hibernate/dialect/PostgreSQL81Dialect.java,44
hibernate-core/src/main/java/org/hibernate/collection/internal/PersistentIndexedElementHolder.java,44
hibernate-core/src/main/java/org/hibernate/collection/internal/PersistentElementHolder.java,44
hibernate-core/src/main/java/org/hibernate/cache/internal/CacheDataDescriptionImpl.java,44
hibernate-core/src/main/antlr/sql-gen.g,44
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/SortedSetCollectionMapper.java,43
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/AbstractCollectionMapper.java,43
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/MyEntity.java,43
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/MostBasicEnhancementTest.java,43
hibernate-core/src/main/java/org/hibernate/procedure/internal/ParameterBindImpl.java,43
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/FetchOwnerDelegate.java,43
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/FetchOwner.java,43
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/Fetch.java,43
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CompositeIndexGraph.java,43
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CompositeElementGraph.java,43
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/AbstractSingularAttributeFetch.java,43
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/AbstractFetchOwner.java,43
hibernate-core/src/main/java/org/hibernate/loader/internal/ResultSetProcessorImpl.java,43
hibernate-core/src/main/java/org/hibernate/internal/util/ReflectHelper.java,43
hibernate-core/src/main/java/org/hibernate/engine/spi/ActionQueue.java,43
hibernate-core/src/main/java/org/hibernate/engine/jdbc/ClobProxy.java,43
documentation/src/main/docbook/devguide/en-US/chapters/services/Services.xml,43
buildSrc/src/main/groovy/org/hibernate/build/qalab/DatabaseAllocator.groovy,43
hibernate-osgi/src/test/resources/felix-framework.properties,42
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/ConcurrentWriteTest.java,42
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/naturalid/NaturalIdRegionImpl.java,42
hibernate-envers/src/main/java/org/hibernate/envers/query/impl/RevisionsOfEntityQuery.java,42
hibernate-entitymanager/src/main/java/org/hibernate/ejb/AbstractEntityManagerImpl.java,42
hibernate-core/src/main/java/org/hibernate/loader/internal/EntityLoadQueryBuilderImpl.java,42
hibernate-core/src/main/java/org/hibernate/loader/JoinWalker.java,42
hibernate-core/src/main/java/org/hibernate/internal/SQLQueryImpl.java,42
hibernate-core/src/main/java/org/hibernate/engine/query/spi/QueryPlanCache.java,42
hibernate-core/src/main/java/org/hibernate/engine/jdbc/dialect/internal/DialectResolverInitiator.java,42
hibernate-core/src/main/java/org/hibernate/dialect/MySQLDialect.java,42
hibernate-core/src/main/java/org/hibernate/annotations/CollectionType.java,42
hibernate-envers/src/main/java/org/hibernate/envers/tools/reflection/ReflectionTools.java,41
hibernate-envers/src/main/java/org/hibernate/envers/configuration/GlobalConfiguration.java,41
hibernate-core/src/test/java/org/hibernate/test/connections/AggressiveReleaseTest.java,41
hibernate-core/src/main/java/org/hibernate/type/ManyToOneType.java,41
hibernate-core/src/main/java/org/hibernate/type/CollectionType.java,41
hibernate-core/src/main/java/org/hibernate/persister/internal/PersisterFactoryImpl.java,41
hibernate-core/src/main/java/org/hibernate/engine/transaction/internal/TransactionFactoryInitiator.java,41
hibernate-core/src/main/java/org/hibernate/engine/query/spi/HQLQueryPlan.java,41
hibernate-core/src/main/java/org/hibernate/engine/internal/Collections.java,41
hibernate-core/src/main/java/org/hibernate/dialect/SybaseASE157Dialect.java,41
hibernate-core/src/main/java/org/hibernate/dialect/SQLServerDialect.java,41
hibernate-core/src/main/java/org/hibernate/action/internal/EntityUpdateAction.java,41
hibernate-envers/src/main/java/org/hibernate/envers/strategy/DefaultAuditStrategy.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/path/SingularAttributeJoin.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/path/SetAttributeJoin.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/path/MapAttributeJoin.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/path/ListAttributeJoin.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/path/CollectionAttributeJoin.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/SetJoinImplementor.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/MapJoinImplementor.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/ListJoinImplementor.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/JoinImplementor.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/CriteriaBuilderImpl.java,40
hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/CollectionJoinImplementor.java,40
hibernate-core/src/main/java/org/hibernate/sql/ForUpdateFragment.java,40
